FID,borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng
26,1.000000000000000,Manhattan,061,MN32,Yorkville,13594779.769799999892712,17409.210114699999394
27,1.000000000000000,Manhattan,061,MN40,Upper East Side-Carnegie Hill,20065329.487700000405312,23778.406402000000526
28,3.000000000000000,Brooklyn,047,BK40,Windsor Terrace,14041611.820499999448657,19033.540162500001315
29,4.000000000000000,Queens,081,QN12,Hammels-Arverne-Edgemere,61904116.801299996674061,83820.120650099997874
30,2.000000000000000,Bronx,005,BX98,Rikers Island,18154595.796199999749660,18903.346270999998524
31,2.000000000000000,Bronx,005,BX27,Hunts Point,49734670.557300001382828,44778.618995299999369
32,4.000000000000000,Queens,081,QN28,Jackson Heights,47854896.069099999964237,29422.792302900001232
33,3.000000000000000,Brooklyn,047,BK27,Bath Beach,20538896.971099998801947,22383.267147999998997
34,5.000000000000000,Staten Island,085,SI36,Old Town-Dongan Hills-South Beach,67010738.067900002002716,41963.900236499997845
35,3.000000000000000,Brooklyn,047,BK42,Flatbush,45254811.474500000476837,38737.852762800001074
36,2.000000000000000,Bronx,005,BX34,Melrose South-Mott Haven North,17269793.866999998688698,19596.174951799999690
37,3.000000000000000,Brooklyn,047,BK79,Ocean Hill,20078419.057199999690056,22496.514210299999831
38,1.000000000000000,Manhattan,061,MN09,Morningside Heights,20158317.285000000149012,20744.313554899999872
39,2.000000000000000,Bronx,005,BX55,Soundview-Bruckner,16260511.421399999409914,19755.305500999998912
40,2.000000000000000,Bronx,005,BX31,Allerton-Pelham Gardens,31684499.290600001811981,25462.684886999999435
41,4.000000000000000,Queens,081,QN06,Jamaica Estates-Holliswood,42789517.362599998712540,35446.883206600003177
42,4.000000000000000,Queens,081,QN07,Hollis,22887772.917599998414516,20976.335524800000712
43,3.000000000000000,Brooklyn,047,BK58,Flatlands,54341763.554600000381470,40635.275370600000315
44,3.000000000000000,Brooklyn,047,BK82,East New York,117170154.658000007271767,88815.348861799997394
45,2.000000000000000,Bronx,005,BX30,Kingsbridge Heights,13167198.169199999421835,21306.519854900001519
